City,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Apache Junction,"38,506",107,0,1,15,91,921,251,597,73,9
Avondale,"81,605",233,2,32,78,121,"3,262",558,"2,459",245,8
Buckeye,"64,563",35,2,2,15,16,"1,025",115,839,71,2
Bullhead City,"39,426",99,0,10,16,73,"1,405",308,999,98,2
Camp Verde,"11,213",30,1,0,4,25,351,90,235,26,2
Casa Grande,"51,995",284,1,23,38,222,"1,744",346,"1,329",69,12
Chandler,"265,922",558,4,124,157,273,"6,152",864,"4,895",393,21
Chino Valley,"11,202",74,0,0,2,72,249,55,177,17,0
Clarkdale,"4,271",11,0,0,1,10,58,13,42,3,1
Coolidge,"12,387",38,2,3,7,26,597,145,404,48,11
Cottonwood,"11,932",43,0,1,1,41,496,66,404,26,3
Douglas,"16,398",30,0,1,4,25,462,70,377,15,3
Eagar,"4,863",6,0,0,0,6,51,17,32,2,3
El Mirage,"34,376",74,1,7,16,50,"1,052",284,667,101,9
Eloy,"17,110",62,0,3,6,53,460,117,307,36,10
Flagstaff,"71,179",265,0,26,30,209,"2,856",255,"2,542",59,24
Florence,"31,130",22,0,0,0,22,151,36,108,7,0
Fredonia,"1,320",3,0,0,0,3,20,6,13,1,
Gilbert,"255,899",200,3,39,37,121,"3,368",564,"2,678",126,31
Glendale,"242,938","1,204",23,107,476,598,"12,805","1,981","9,690","1,134",
Goodyear,"82,018",310,0,18,28,264,"2,063",359,"1,561",143,0
Holbrook,"5,012",44,0,1,1,42,202,42,145,15,1
Jerome,458,0,0,0,0,0,15,5,10,0,0
Kearny,"2,055",1,0,0,0,1,27,11,16,0,0
Kingman,"29,069",101,3,7,21,70,"1,480",262,"1,152",66,10
Lake Havasu City,"53,746",141,2,31,6,102,"1,218",263,849,106,25
Marana,"42,808",40,1,8,13,18,"1,045",66,947,32,2
Maricopa,"49,627",97,3,10,6,78,648,87,517,44,0
Mesa,"478,277","2,051",19,272,450,"1,310","11,214","1,950","8,404",860,30
Miami,"1,776",14,0,0,0,14,101,65,30,6,2
Nogales,"20,143",62,0,0,2,60,502,80,304,118,0
Oro Valley,"44,089",29,0,4,7,18,653,70,555,28,1
Page,"7,516",86,0,13,7,66,500,59,421,20,5
Paradise Valley,"14,155",9,0,5,1,3,232,57,168,7,0
Patagonia,886,1,0,0,0,1,5,1,0,4,0
Payson,"15,351",55,0,5,5,45,379,85,265,29,0
Peoria,"174,797",350,2,37,85,226,"3,709",645,"2,804",260,12
Phoenix,"1,586,611","10,700",146,"1,019","3,272","6,263","58,552","13,024","37,568","7,960",216
Pima,"2,554",0,0,0,0,0,39,7,29,3,0
Pinetop-Lakeside,"4,354",46,0,0,1,45,172,38,131,3,0
Prescott,"42,321",170,0,10,18,142,924,175,720,29,5
Prescott Valley,"42,900",78,1,13,14,50,994,126,836,32,1
Safford,"9,717",34,0,0,0,34,386,43,313,30,1
Sahuarita,"25,792",23,0,3,1,19,375,42,320,13,3
San Luis,"32,227",39,1,1,1,36,427,79,294,54,0
Scottsdale,"240,885",369,4,90,112,163,"5,698",768,"4,681",249,13
Show Low,"10,892",2,1,0,0,1,439,33,396,10,4
Sierra Vista,"42,988",85,3,15,18,49,"1,278",249,974,55,6
Snowflake-Taylor,"9,835",29,0,0,0,29,169,43,116,10,6
Somerton,"15,196",26,0,0,0,26,180,47,95,38,0
Springerville,"1,952",3,0,1,0,2,39,11,26,2,1
Surprise,"130,679",135,6,12,38,79,"2,489",353,"1,980",156,5
Tempe,"178,654",902,4,155,237,506,"8,144","1,200","6,494",450,38
Thatcher,"5,019",0,0,0,0,0,89,13,76,0,0
Tucson,"533,663","4,245",30,469,"1,235","2,511","31,265","4,138","25,185","1,942",119
Wellton,"2,944",6,0,1,1,4,17,5,11,1,0
Wickenburg,"6,835",25,0,7,2,16,191,64,108,19,3
Willcox,"3,511",65,0,1,2,62,201,12,177,12,1
Williams,"3,140",30,0,2,0,28,116,19,97,0,1
Winslow,"9,581",75,1,9,3,62,679,67,579,33,4
Aspen,"6,926",5,0,4,0,1,325,24,289,12,2
Ault,"1,642",2,0,0,0,2,5,4,0,1,0
Aurora,"366,477","1,939",22,289,576,"1,052","11,213","1,698","7,977","1,538",69
Avon,"6,532",13,0,8,0,5,147,13,124,10,0
Basalt,"3,900",2,0,2,0,0,34,2,30,2,0
Bayfield,"2,611",2,0,1,0,1,45,6,36,3,0
Black Hawk,126,8,0,6,1,1,199,2,184,13,0
Boulder,"109,189",258,0,52,30,176,"3,275",559,"2,497",219,19
Bow Mar,961,0,0,0,0,0,3,1,2,0,0
Breckenridge,"4,971",12,1,4,0,7,222,25,191,6,0
Brighton,"38,363",143,1,45,15,82,"1,328",159,994,175,12
Broomfield,"66,953",36,0,16,2,18,"1,610",216,"1,236",158,4
Brush,"5,456",5,0,5,0,0,41,22,19,0,1
Buena Vista,"2,790",1,0,1,0,0,65,4,61,0,0
Burlington,"3,624",7,1,0,0,6,76,9,62,5,0
Calhan,790,0,0,0,0,0,12,5,7,0,0
Campo,104,0,0,0,0,0,0,0,0,0,0
Carbondale,"6,728",14,0,2,1,11,74,4,60,10,0
Castle Rock,"57,109",51,0,22,4,25,882,106,739,37,5
Center,"2,196",11,1,3,1,6,72,26,43,3,0
Cherry Hills Village,"6,649",1,0,0,0,1,69,14,51,4,0
Colorado Springs,"464,113","2,301",24,446,437,"1,394","16,526","2,677","11,776","2,073",116
Columbine Valley,"1,381",0,0,0,0,0,4,2,2,0,0
Commerce City,"55,341",241,0,52,40,149,"1,767",230,"1,127",410,11
Cortez,"8,761",14,0,0,1,13,209,8,199,2,0
Craig,"8,724",19,0,6,3,10,238,16,216,6,2
Crested Butte,"1,599",3,0,0,0,3,19,1,17,1,0
Cripple Creek,"1,147",19,0,3,0,16,77,12,59,6,1
Dacono,"4,925",2,0,0,1,1,8,0,4,4,0
Delta,"8,778",9,0,4,0,5,332,52,257,23,4
Denver,"699,259","4,597",57,567,"1,160","2,813","25,101","4,675","15,638","4,788",94
Dillon,972,5,0,2,1,2,42,1,38,3,1
Durango,"18,248",43,1,5,1,36,718,61,626,31,2
Eagle,"6,715",4,0,1,0,3,55,5,47,3,1
Eaton,"5,045",3,0,0,1,2,5,3,1,1,0
Edgewater,"5,330",10,0,2,3,5,333,24,261,48,0
Erie,"22,115",12,0,5,1,6,135,24,103,8,1
Estes Park,"6,335",6,0,0,1,5,72,12,57,3,1
Evans,"21,975",70,0,4,3,63,409,67,275,67,7
Federal Heights,"12,563",81,1,11,18,51,718,84,467,167,0
Firestone,"12,375",6,0,0,2,4,126,24,89,13,0
Florence,"3,861",7,0,0,0,7,76,16,54,6,0
Fort Collins,"164,670",342,5,33,40,264,"4,036",451,"3,384",201,16
Fort Lupton,"7,903",15,0,2,2,11,101,9,70,22,0
Fort Morgan,"11,313",36,0,23,1,12,303,54,223,26,3
Fountain,"28,115",98,1,32,14,51,729,69,563,97,2
Fowler,"1,141",4,0,1,0,3,5,0,2,3,0
Fraser/Winter Park,"2,205",3,0,1,0,2,70,3,65,2,0
Frisco,"3,108",4,0,2,0,2,81,14,63,4,0
Fruita,"12,825",16,0,4,3,9,184,49,134,1,7
Garden City,269,13,0,0,0,13,29,2,23,4,0
Georgetown,"1,052",3,0,1,0,2,4,3,0,1,0
Glendale,"5,396",41,0,4,15,22,759,38,668,53,0
Glenwood Springs,"9,978",38,1,9,1,27,517,38,454,25,5
Golden,"20,616",31,0,4,3,24,480,36,402,42,1
Granby,"1,880",3,0,0,0,3,20,0,20,0,0
Grand Junction,"60,628",314,4,63,35,212,"3,060",362,"2,537",161,15
Greeley,"102,491",468,3,85,51,329,"3,275",506,"2,447",322,19
Greenwood Village,"16,024",34,0,7,6,21,614,83,480,51,3
Gunnison,"6,110",19,0,2,1,16,165,20,144,1,1
Gypsum,"7,012",4,0,1,1,2,71,5,60,6,0
Haxtun,926,1,0,0,0,1,21,2,19,0,0
Holyoke,"2,237",3,0,1,0,2,23,3,19,1,0
Hotchkiss,895,2,0,2,0,0,16,4,12,0,0
Hugo,737,2,0,0,0,2,12,3,7,2,0
Idaho Springs,"1,730",33,1,8,1,23,75,10,60,5,1
Ignacio,723,0,0,0,0,0,0,0,0,0,0
Johnstown,"16,143",13,0,8,0,5,114,7,93,14,0
Kersey,"1,602",0,0,0,0,0,14,4,10,0,0
Kiowa,753,0,0,0,0,0,2,1,0,1,0
Lafayette,"28,421",87,0,35,10,42,638,53,545,40,7
Lakeside,8,4,0,0,4,0,319,3,313,3,0
Lakewood,"154,553",875,4,144,174,553,"8,455","1,014","6,429","1,012",30
La Salle,"2,070",3,0,0,0,3,54,11,34,9,1
Leadville,"2,656",6,1,0,0,5,44,8,32,4,1
Limon,"1,917",4,0,0,0,4,2,0,1,1,0
Littleton,"47,288",48,3,12,13,20,"1,296",240,907,149,2
Lochbuie,"5,516",7,0,0,2,5,99,13,74,12,0
Lone Tree,"13,593",33,2,5,7,19,967,56,911,0,3
Longmont,"93,268",292,0,104,32,156,"2,300",272,"1,860",168,41
Louisville,"20,814",21,0,0,2,19,73,36,27,10,3
Loveland,"76,936",184,1,41,20,122,"1,987",193,"1,719",75,11
Mancos,"1,388",0,0,0,0,0,19,5,14,0,1
Manitou Springs,"5,397",17,0,4,4,9,122,20,93,9,2
Mead,"4,713",11,1,1,1,8,80,16,55,9,1
Meeker,"2,344",5,0,1,0,4,17,0,15,2,0
Milliken,"6,551",3,0,0,0,3,41,4,34,3,1
Monte Vista,"4,262",24,0,3,1,20,224,81,130,13,1
Montrose,"19,054",29,0,1,2,26,835,87,713,35,2
Monument,"6,497",2,0,0,1,1,190,24,162,4,0
Morrison,436,0,0,0,0,0,0,0,0,0,0
Mountain View,532,0,0,0,0,0,11,5,4,2,0
Mountain Village,"1,412",0,0,0,0,0,17,2,15,0,0
Mount Crested Butte,833,2,0,1,0,1,23,4,19,0,0
Nederland,"1,534",2,0,0,1,1,25,3,19,3,0
New Castle,"4,706",3,0,1,0,2,43,4,34,5,1
Northglenn,"39,890",139,0,35,16,88,"1,353",164,897,292,7
Oak Creek,894,4,0,2,0,2,7,1,6,0,0
Ouray,"1,008",0,0,0,0,0,21,0,19,2,0
Pagosa Springs,"1,763",5,0,0,0,5,60,8,50,2,0
Palisade,"2,654",6,0,1,2,3,38,8,27,3,1
Palmer Lake,"2,621",0,0,0,0,0,0,0,0,0,0
Parachute,"1,110",10,0,1,1,8,21,7,12,2,0
Parker,"50,409",46,0,11,2,33,592,86,461,45,6
Pueblo,"109,927","1,081",9,171,224,677,"7,473","1,797","4,505","1,171",49
Rangely,"2,378",1,0,1,0,0,9,0,8,1,1
Rifle,"9,613",15,1,3,1,10,168,14,148,6,2
Salida,"5,516",7,0,3,1,3,186,15,157,14,0
Severance,"3,805",2,0,0,1,1,26,7,15,4,1
Sheridan,"6,113",20,1,3,5,11,465,48,364,53,2
Silt,"3,069",3,0,1,1,1,23,3,18,2,0
Simla,635,1,0,1,0,0,3,1,1,1,0
Snowmass Village,"2,935",1,0,0,0,1,49,0,48,1,0
Springfield,"1,385",1,0,0,0,1,14,7,6,1,0
Steamboat Springs,"12,512",31,0,8,2,21,299,40,253,6,1
Sterling,"14,087",47,0,22,2,23,495,91,375,29,5
Stratton,659,4,1,0,0,3,4,4,0,0,0
Telluride,"2,434",2,0,0,0,2,54,4,49,1,1
Thornton,"136,451",477,5,106,73,293,"4,309",525,"3,030",754,17
Timnath,"3,234",3,1,0,0,2,113,14,99,0,0
Trinidad,"7,990",32,0,3,12,17,490,151,321,18,7
Vail,"5,496",11,0,3,0,8,283,27,247,9,1
Walsenburg,"2,871",21,0,4,8,9,196,76,107,13,3
Westminster,"114,514",269,4,50,71,144,"4,004",377,"2,890",737,12
Wheat Ridge,"31,389",110,0,28,16,66,"1,490",207,"1,047",236,12
Windsor,"22,404",3,0,1,1,1,239,36,193,10,0
Woodland Park,"7,226",17,0,3,1,13,144,12,126,6,0
Wray,"2,382",0,0,0,0,0,9,2,7,0,0
Yuma,"3,612",0,0,0,0,0,0,0,0,0,0
Adel,"4,356",20,0,3,0,17,183,116,62,5,3
Albia,"3,840",4,0,0,0,4,43,9,29,5,0
Algona,"5,453",17,0,3,0,14,39,7,28,4,0
Altoona,"17,503",31,0,1,8,22,523,58,450,15,5
Ames,"66,333",107,1,39,15,52,"1,077",164,867,46,1
Anamosa,"5,454",10,0,0,0,10,73,19,50,4,0
Ankeny,"59,236",128,2,18,8,100,756,238,468,50,5
Audubon,"1,988",2,0,0,1,1,19,3,16,0,0
Belmond,"2,303",0,0,0,0,0,5,2,2,1,0
Bettendorf4,"35,946",59,0,10,5,44,,,416,23,7
Bloomfield,"2,611",3,0,0,0,3,4,0,4,0,0
Blue Grass,"1,724",3,0,3,0,0,4,1,3,0,0
Boone,"12,702",48,0,1,2,45,169,50,112,7,2
Buffalo,"1,304",4,0,1,1,2,12,0,12,0,0
Burlington,"25,376",207,3,14,31,159,"1,026",247,713,66,10
Camanche,"4,320",12,0,0,0,12,69,19,42,8,0
Carlisle,"4,225",28,0,1,1,26,83,23,55,5,0
Carroll,"9,940",6,0,0,0,6,208,51,149,8,0
Carter Lake,"3,791",24,0,3,4,17,115,21,72,22,0
Cedar Falls,"41,651",66,0,20,9,37,708,118,559,31,3
Cedar Rapids,"131,181",387,4,67,100,216,"5,019",995,"3,670",354,19
Centerville,"5,343",17,0,1,0,16,251,119,122,10,2
Chariton,"4,194",11,0,0,0,11,114,30,78,6,2
Charles City,"7,417",21,0,9,0,12,143,26,111,6,0
Cherokee,"4,983",22,0,0,0,22,69,15,52,2,0
Clarinda,"5,386",28,0,2,0,26,183,43,128,12,2
Clarion,"2,752",4,0,1,0,3,13,6,5,2,0
Clear Lake,"7,555",26,0,0,0,26,189,48,137,4,1
Clinton,"25,906",229,0,20,28,181,"1,160",300,795,65,3
Clive5,"17,836",26,2,4,0,20,,51,,24,4
Coralville,"20,957",58,0,15,23,20,662,70,582,10,5
Council Bluffs,"62,642",150,4,27,55,64,"3,862",387,"3,043",432,16
Cresco,"3,826",1,0,1,0,0,29,8,21,0,0
Creston,"7,860",26,0,0,2,24,160,22,128,10,0
Davenport,"103,118",750,7,88,155,500,"5,001","1,155","3,436",410,8
Decorah,"7,864",11,0,3,0,8,76,3,70,3,0
Des Moines,"211,501","1,497",13,140,318,"1,026","8,881","1,944","5,920","1,017",44
De Witt,"5,226",7,0,1,0,6,82,35,44,3,0
Dubuque,"59,026",210,1,52,26,131,"1,832",408,"1,349",75,12
Dyersville,"4,231",7,0,1,0,6,38,5,32,1,0
Eagle Grove,"3,389",2,0,1,0,1,48,14,32,2,2
Eldridge,"6,348",6,0,0,1,5,14,4,8,2,0
Emmetsburg,"3,795",8,0,4,0,4,22,7,14,1,0
Estherville,"5,947",21,0,2,1,18,105,40,63,2,0
Evansdale,"4,824",12,0,3,1,8,101,36,61,4,0
Fairfield,"9,982",17,0,4,0,13,323,107,196,20,3
Forest City,"3,994",5,0,2,0,3,20,10,9,1,0
Fort Dodge,"24,557",144,1,19,22,102,979,96,840,43,8
Fort Madison,"10,654",53,1,4,7,41,358,25,306,27,6
Glenwood,"5,250",29,1,1,0,27,82,26,48,8,0
Grinnell,"9,127",76,0,9,1,66,269,90,173,6,1
Grundy Center,"2,715",1,0,0,0,1,6,1,4,1,0
Hampton,"4,256",6,0,2,1,3,14,3,8,3,0
Hawarden,"2,552",4,0,0,0,4,21,9,12,0,0
Hiawatha,"7,235",17,1,3,2,11,163,52,96,15,3
Humboldt,"4,579",3,0,0,0,3,32,4,24,4,0
Indianola,"15,601",93,1,17,0,75,350,60,278,12,4
Iowa City,"75,527",197,0,39,43,115,"1,551",294,"1,169",88,1
Iowa Falls,"5,186",2,0,0,1,1,106,13,86,7,0
Jefferson,"4,176",6,0,0,1,5,140,40,97,3,1
Johnston,"21,635",26,0,5,3,18,226,40,172,14,0
Keokuk,"10,577",76,1,2,5,68,536,153,336,47,0
Le Claire,"4,029",8,0,2,0,6,13,4,9,0,0
Le Mars,"9,750",10,1,0,0,9,223,61,144,18,4
Leon,"1,890",6,0,0,0,6,10,3,6,1,1
Manchester,"5,051",5,0,1,0,4,115,32,80,3,0
Maquoketa,"5,961",18,0,4,2,12,163,67,91,5,1
Marengo,"2,511",8,0,0,0,8,6,1,4,1,0
Marion,"37,845",71,0,14,8,49,604,142,428,34,5
Marshalltown,"27,628",163,1,15,14,133,813,181,572,60,15
Mason City,"27,230",37,3,2,5,27,"1,122",264,837,21,1
Missouri Valley,"2,668",2,0,0,0,2,57,15,37,5,2
Monticello,"3,832",30,0,1,2,27,80,14,62,4,0
Mount Pleasant4,"8,389",12,0,1,0,11,,,128,18,2
Mount Vernon4,"4,482",3,0,2,0,1,,,24,2,0
Muscatine,"24,010",158,0,11,8,139,531,114,382,35,17
New Hampton,"3,430",7,0,2,0,5,20,7,12,1,0
Newton,"15,102",54,0,10,5,39,461,102,335,24,1
North Liberty,"16,458",52,0,18,2,32,121,32,86,3,0
Norwalk,"10,371",16,0,2,3,11,87,19,67,1,1
Oelwein,"6,104",22,0,5,1,16,94,23,67,4,0
Ogden,"2,041",4,0,0,0,4,13,4,9,0,1
Onawa,"2,859",14,0,4,0,10,69,23,44,2,1
Orange City,"6,225",2,0,0,0,2,48,17,30,1,0
Osage,"3,659",12,0,0,0,12,50,7,40,3,0
Osceola,"4,976",6,0,0,0,6,94,12,74,8,2
Oskaloosa,"11,626",49,0,8,7,34,302,70,219,13,1
Ottumwa,"24,543",101,1,20,8,72,"1,074",230,753,91,9
Pella,"10,368",10,0,5,0,5,105,22,73,10,1
Perry,"8,160",33,3,0,2,28,195,54,122,19,3
Pleasant Hill5,"9,415",26,0,4,1,21,,76,,20,0
Prairie City,"1,715",2,1,0,0,1,54,46,7,1,0
Red Oak,"5,424",21,0,3,1,17,172,54,101,17,3
Rock Valley,"3,762",0,0,0,0,0,25,15,10,0,0
Sergeant Bluff,"4,579",13,0,0,0,13,48,10,33,5,0
Sheldon,"5,067",13,0,2,0,11,53,16,33,4,0
Shenandoah,"4,996",8,0,1,0,7,43,11,29,3,1
Sigourney,"1,995",4,0,1,0,3,19,7,12,0,1
Sioux Center,"7,544",2,0,0,0,2,11,6,5,0,0
Sioux City,"82,819",365,1,40,59,265,"3,247",592,"2,363",292,13
Spencer,"11,211",9,0,9,0,0,230,49,177,4,1
Spirit Lake,"5,049",19,0,4,2,13,152,30,120,2,2
State Center,"1,470",2,0,0,0,2,6,3,3,0,0
Storm Lake,"10,959",58,0,8,0,50,320,107,207,6,2
Story City,"3,439",4,0,1,0,3,40,7,28,5,0
Tama,"2,809",14,0,1,1,12,25,8,13,4,0
Tipton,"3,196",9,0,0,0,9,21,3,18,0,0
Toledo,"2,176",7,0,0,0,7,45,12,31,2,0
Urbandale,"45,012",67,1,9,8,49,700,175,480,45,4
Vinton,"5,128",9,0,1,0,8,18,5,12,1,0
Walcott,"1,639",4,0,0,0,4,15,5,10,0,1
Washington,"7,437",43,0,7,0,36,88,20,61,7,1
Waterloo,"68,470",507,3,56,61,387,"2,120",614,"1,368",138,24
Waukon,"3,701",7,0,1,0,6,55,9,41,5,1
Waverly,"10,104",114,0,4,1,109,118,25,91,2,0
Webster City,"7,768",24,0,3,0,21,126,19,100,7,0
West Branch,"2,340",7,0,1,0,6,10,2,7,1,0
West Burlington4,"3,055",8,0,0,1,7,,,288,8,3
West Des Moines,"65,631",149,1,24,19,105,"1,513",147,"1,296",70,7
West Liberty,"3,723",11,0,6,0,5,28,9,18,1,0
Williamsburg,"3,221",1,0,0,0,1,23,3,18,2,0
Wilton,"2,808",2,0,0,0,2,13,2,10,1,0
Windsor Heights,"4,893",7,0,2,1,4,222,25,195,2,1
Winterset,"5,170",13,0,1,0,12,83,21,59,3,0
Abingdon,"8,105",11,0,3,1,7,179,13,158,8,0
Alexandria,"155,319",286,7,21,134,124,"2,798",184,"2,343",271,9
Altavista,"3,478",4,1,1,1,1,102,5,97,0,0
Amherst,"2,206",1,0,0,0,1,9,2,7,0,0
Appalachia,"1,655",7,0,3,1,3,18,5,12,1,0
Ashland,"7,559",24,0,5,5,14,215,11,197,7,0
Bedford,"6,556",11,0,4,0,7,284,9,271,4,5
Berryville,"4,323",4,0,0,1,3,44,10,32,2,0
Big Stone Gap,"5,378",5,0,0,1,4,154,19,133,2,0
Blacksburg,"44,528",43,0,19,3,21,409,62,333,14,1
Blackstone,"3,467",5,0,2,1,2,121,10,103,8,0
Bluefield,"5,247",12,0,5,0,7,265,19,240,6,3
Bowling Green,"1,169",0,0,0,0,0,0,0,0,0,0
Boykins,539,0,0,0,0,0,8,1,6,1,0
Bridgewater,"5,939",1,0,1,0,0,17,4,13,0,0
Bristol,"16,908",37,1,9,7,20,432,56,338,38,2
Broadway,"3,831",1,0,0,0,1,49,18,31,0,0
Brookneal,"1,120",1,0,0,0,1,30,4,26,0,0
Buena Vista,"6,576",3,0,1,0,2,55,7,47,1,0
Burkeville,408,0,0,0,0,0,12,1,11,0,0
Cape Charles,"1,019",0,0,0,0,0,7,2,4,1,0
Charlottesville,"46,979",245,1,36,43,165,"1,228",170,983,75,1
Chase City,"2,285",4,1,1,1,1,39,8,31,0,0
Chatham,"1,482",0,0,0,0,0,17,0,17,0,0
Chesapeake,"236,570",969,14,78,215,662,"6,001",743,"4,938",320,21
Chilhowie,"1,733",0,0,0,0,0,18,3,15,0,0
Chincoteague,"2,909",10,0,3,0,7,63,14,46,3,0
Christiansburg,"22,134",35,0,12,3,20,575,62,505,8,0
Clarksville,"1,199",2,0,0,2,0,9,3,6,0,0
Clifton Forge,"3,713",9,0,1,0,8,56,3,51,2,1
Clintwood,"1,309",2,0,0,0,2,29,1,28,0,0
Coeburn,"1,982",5,0,2,1,2,29,3,25,1,0
Colonial Beach,"3,589",7,0,3,0,4,77,11,56,10,0
Colonial Heights,"17,814",58,0,22,19,17,816,45,751,20,2
Covington,"5,570",8,0,0,0,8,121,10,110,1,2
Crewe,"2,225",8,0,0,1,7,44,7,35,2,0
Culpeper,"17,733",43,1,6,11,25,338,17,311,10,1
Damascus,799,2,0,0,0,2,29,1,27,1,0
Danville,"41,686",335,16,31,76,212,"1,529",259,"1,197",73,8
Dayton,"1,598",0,0,0,0,0,14,2,11,1,0
Dublin,"2,719",5,0,0,1,4,36,9,27,0,0
Dumfries,"5,263",0,0,0,0,0,75,7,62,6,0
Elkton,"2,826",5,0,1,0,4,19,4,13,2,0
Emporia,"5,382",34,0,5,10,19,263,30,228,5,0
Exmore,"1,443",5,0,1,0,4,19,1,17,1,0
Fairfax City,"24,173",23,0,7,8,8,407,33,354,20,8
Falls Church,"14,124",27,0,4,14,9,219,10,190,19,0
Farmville,"8,159",19,0,4,4,11,232,14,217,1,0
Franklin,"8,423",24,1,5,8,10,310,28,274,8,2
Fredericksburg,"28,823",104,2,8,19,75,"1,040",60,941,39,6
Front Royal,"15,193",44,0,20,8,16,330,25,293,12,2
Galax,"6,858",21,2,6,1,12,220,30,185,5,0
Gate City,"1,937",0,0,0,0,0,31,3,26,2,2
Glasgow,"1,116",0,0,0,0,0,2,0,2,0,0
Glen Lyn,116,0,0,0,0,0,6,1,5,0,0
Gordonsville,"1,595",1,0,1,0,0,16,3,10,3,0
Gretna,"1,243",1,0,1,0,0,9,2,4,3,0
Grottoes,"2,776",2,0,1,0,1,26,2,24,0,0
Grundy,970,0,0,0,0,0,29,3,26,0,0
Halifax,"1,243",1,0,1,0,0,4,1,3,0,0
Hampton,"135,504",442,24,40,180,198,"4,650",589,"3,741",320,14
Harrisonburg,"52,972",117,2,25,29,61,"1,099",165,894,40,3
Haymarket,"2,019",0,0,0,0,0,8,1,6,1,0
Haysi,470,0,0,0,0,0,4,3,1,0,0
Herndon,"24,806",51,0,9,15,27,381,34,335,12,0
Hillsville,"2,666",2,0,1,0,1,80,12,60,8,0
Honaker,"1,382",9,0,0,2,7,17,6,11,0,1
Hopewell,"22,204",103,4,2,44,53,641,153,442,46,1
Hurt,"1,269",1,0,0,0,1,3,0,3,0,0
Independence,923,1,0,1,0,0,9,1,8,0,0
Jonesville,968,0,0,0,0,0,2,0,2,0,0
Kenbridge,"1,220",3,1,0,0,2,1,0,0,1,0
Kilmarnock,"1,428",2,0,0,0,2,32,12,20,0,0
La Crosse,586,0,0,0,0,0,1,0,1,0,0
Lawrenceville,"1,019",1,0,0,0,1,12,7,5,0,0
Lebanon,"3,323",7,0,2,0,5,132,3,127,2,0
Leesburg,"53,016",109,3,29,12,65,820,18,770,32,0
Lexington,"7,264",10,0,2,0,8,77,10,66,1,0
Louisa,"1,633",1,0,0,0,1,45,1,42,2,0
Luray,"4,817",4,0,1,0,3,108,12,93,3,0
Lynchburg,"80,215",298,2,33,57,206,"1,802",262,"1,428",112,5
Manassas,"42,267",123,1,21,27,74,815,92,677,46,9
Manassas Park,"15,912",24,0,8,6,10,160,14,135,11,0
Marion,"5,956",46,0,7,2,37,261,33,212,16,2
Martinsville,"13,553",28,0,0,2,26,366,50,286,30,4
Middleburg,835,0,0,0,0,0,18,0,18,0,0
Middletown,"1,324",0,0,0,0,0,12,2,9,1,0
Mount Jackson,"2,051",3,0,2,0,1,28,4,23,1,0
Narrows,"1,940",1,0,0,0,1,2,0,2,0,0
New Market,"2,220",1,0,0,0,1,25,1,22,2,1
Newport News,"181,676",848,30,71,269,478,"5,579",902,"4,097",580,51
Norfolk,"245,734","1,616",46,131,489,950,"9,617","1,165","7,918",534,20
Norton,"3,911",16,0,7,0,9,144,6,136,2,3
Occoquan,"1,042",0,0,0,0,0,0,0,0,0,0
Onancock,"1,260",5,0,2,2,1,25,5,17,3,0
Onley,516,0,0,0,0,0,12,1,11,0,0
Orange,"4,992",10,0,5,2,3,87,11,72,4,1
Parksley,840,4,0,0,1,3,11,2,9,0,0
Pearisburg,"2,655",3,0,1,2,0,76,8,66,2,1
Pembroke,"1,073",0,0,0,0,0,21,3,15,3,0
Pennington Gap,"1,793",2,0,0,0,2,33,8,25,0,0
Petersburg,"32,293",239,11,6,67,155,"1,072",230,742,100,1
Pocahontas,376,0,0,0,0,0,2,1,1,0,0
Poquoson,"11,975",20,0,3,1,16,171,38,129,4,0
Portsmouth,"95,813",758,14,61,235,448,"5,373","1,208","3,707",458,9
Pound,957,2,0,0,0,2,13,3,10,0,0
Pulaski,"8,855",32,0,17,2,13,251,36,204,11,0
Purcellville,"9,547",3,0,0,0,3,54,7,47,0,0
Quantico,548,0,0,0,0,0,3,1,2,0,0
Radford,"17,504",83,1,22,8,52,316,60,244,12,6
Remington,634,1,0,0,0,1,0,0,0,0,0
Rich Creek,744,4,0,2,1,1,26,5,20,1,0
Richlands,"5,443",8,0,3,3,2,111,21,86,4,1
Roanoke,"99,978",413,13,36,117,247,"4,195",423,"3,549",223,29
Rocky Mount,"4,803",14,0,2,2,10,184,7,172,5,3
Salem,"25,396",24,0,5,6,13,527,26,466,35,1
Saltville,"2,022",0,0,0,0,0,29,3,23,3,0
Shenandoah,"2,334",1,0,1,0,0,42,4,32,6,0
Smithfield,"8,418",7,0,1,2,4,151,14,128,9,0
South Boston,"7,944",37,1,4,8,24,315,79,229,7,2
South Hill,"4,503",13,0,4,3,6,125,7,115,3,1
Stanley,"1,649",1,0,1,0,0,25,3,22,0,0
Staunton,"24,399",41,2,7,7,25,528,34,474,20,4
Stephens City,"1,962",3,0,1,2,0,26,9,17,0,0
St. Paul,910,5,0,2,1,2,37,4,31,2,0
Strasburg,"6,622",10,0,5,1,4,79,13,64,2,0
Suffolk,"88,342",246,4,33,59,150,"2,141",302,"1,746",93,8
Tappahannock,"2,387",15,0,1,2,12,79,4,70,5,0
