City,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Pittsburgh,"302,443","2,366",57,100,"1,000","1,209","9,868","1,828","7,222",818,153
Pittston Township,"3,395",11,0,0,2,9,133,13,116,4,0
Plains Township,"9,743",12,0,1,7,4,191,26,160,5,0
Pleasant Hills,"8,248",3,0,0,3,0,99,6,92,1,0
Plumstead Township,"13,735",8,0,1,1,6,104,22,73,9,0
"Plymouth Township, Montgomery County","17,887",27,0,3,18,6,536,51,463,22,2
Pocono Mountain Regional,"42,284",112,0,22,23,67,688,174,492,22,11
Pocono Township,"10,723",25,0,1,5,19,282,34,238,10,0
Polk,790,0,0,0,0,0,0,0,0,0,0
Portage,"2,484",4,0,0,0,4,28,9,19,0,0
Port Carbon,"1,803",0,0,0,0,0,1,0,1,0,0
Portersville,236,0,0,0,0,0,0,0,0,0,0
Portland,508,0,0,0,0,0,5,1,4,0,0
Port Vue,"3,733",10,0,0,0,10,35,4,30,1,0
Pottstown,"22,719",154,0,22,48,84,930,122,753,55,4
Pottsville,"13,703",46,0,14,8,24,315,31,266,18,2
Pringle,967,1,0,0,1,0,39,4,34,1,0
Prospect,"1,128",0,0,0,0,0,0,0,0,0,0
"Pulaski Township, Lawrence County","3,323",6,0,1,1,4,14,5,7,2,0
Punxsutawney,"5,841",4,0,3,1,0,39,3,35,1,0
Pymatuning Township,"3,158",34,0,3,1,30,54,7,46,1,0
Quakertown,"8,831",30,0,3,1,26,181,17,161,3,2
Quarryville,"2,762",6,0,0,0,6,85,8,76,1,0
Raccoon Township,"2,992",1,0,0,1,0,14,4,10,0,0
Radnor Township,"31,625",22,0,1,0,21,291,30,251,10,0
Rankin,"2,084",8,0,0,0,8,25,7,12,6,0
Reading,"87,834",597,10,47,233,307,"2,292",685,"1,417",190,12
Redstone Township,"5,425",0,0,0,0,0,10,3,7,0,0
Reserve Township,"3,285",4,0,1,1,2,47,9,36,2,0
Rice Township,"3,544",9,0,0,0,9,17,5,12,0,0
"Richland Township, Bucks County","13,176",7,0,1,2,4,260,16,232,12,1
"Richland Township, Cambria County","12,140",10,0,2,4,4,517,33,482,2,0
Ridgway,"3,863",6,0,1,1,4,95,7,86,2,0
Ridley Park,"7,041",7,0,0,2,5,52,4,44,4,0
Ridley Township,"31,110",47,0,2,22,23,372,35,320,17,1
Ringtown,791,0,0,0,0,0,2,0,2,0,0
Riverside,"1,909",0,0,0,0,0,8,0,7,1,0
Roaring Brook Township,"1,936",0,0,0,0,0,13,2,8,3,0
Roaring Creek Township,539,6,0,0,0,6,1,1,0,0,1
Roaring Spring,"2,528",0,0,0,0,0,16,1,15,0,1
"Robinson Township, Allegheny County","13,813",22,0,3,1,18,319,14,295,10,0
"Robinson Township, Washington County","1,901",1,0,0,0,1,15,4,11,0,0
Rochester,"3,551",13,1,7,1,4,203,45,153,5,0
Rochester Township,"2,726",5,0,0,0,5,23,3,17,3,0
Rockledge,"2,540",5,0,0,2,3,31,8,23,0,0
Roseto,"1,545",0,0,0,0,0,14,0,12,2,0
Ross Township,"30,858",22,0,2,6,14,650,46,595,9,0
Rostraver Township,"11,130",27,1,1,10,15,417,21,388,8,1
Royersford,"4,771",6,0,0,1,5,62,8,53,1,0
Rural Valley,844,0,0,0,0,0,0,0,0,0,0
Rush Township,"3,310",2,0,1,0,1,145,7,137,1,0
Ryan Township,"2,541",0,0,0,0,0,7,1,5,1,0
"Salem Township, Luzerne County","4,197",3,0,0,1,2,49,6,43,0,0
Salisbury Township,"13,762",9,0,0,6,3,258,43,202,13,0
Saltsburg,832,0,0,0,0,0,4,0,4,0,0
Sandy Township,"10,699",9,0,4,1,4,198,26,168,4,0
Saxton,701,0,0,0,0,0,0,0,0,0,0
Sayre,"6,418",22,0,4,1,17,139,20,118,1,1
Schuylkill Haven,"5,189",10,0,0,0,10,71,1,69,1,0
"Schuylkill Township, Chester County","8,587",8,1,0,0,7,68,4,60,4,0
Scottdale,"4,226",11,1,0,2,8,103,10,91,2,0
"Scott Township, Allegheny County","16,848",23,0,2,2,19,215,31,181,3,3
"Scott Township, Columbia County","5,081",3,0,1,0,2,55,1,54,0,0
"Scott Township, Lackawanna County","4,812",0,0,0,0,0,0,0,0,0,0
Scranton,"77,332",216,2,35,63,116,"1,696",360,"1,228",108,9
Selinsgrove,"5,820",56,1,4,0,51,173,23,149,1,1
Seward,473,0,0,0,0,0,0,0,0,0,0
Sewickley Heights,821,0,0,0,0,0,5,4,1,0,0
Shaler Township,"28,467",16,0,0,8,8,253,37,210,6,1
Shamokin,"7,124",22,0,1,6,15,156,31,118,7,3
Shamokin Dam,"1,710",4,0,0,0,4,11,0,11,0,0
Sharon,"13,472",54,3,10,20,21,422,116,285,21,7
Sharon Hill,"5,703",48,1,0,9,38,241,19,207,15,0
Sharpsville,"4,244",7,1,0,0,6,73,12,60,1,0
Shenandoah,"4,835",10,0,3,0,7,101,25,73,3,7
"Shenango Township, Lawrence County","7,323",10,0,0,1,9,51,14,31,6,2
"Shenango Township, Mercer County","3,810",13,0,1,2,10,48,8,39,1,0
Shillington,"5,263",7,0,0,0,7,64,9,52,3,0
Shinglehouse,"1,086",3,0,0,0,3,1,0,1,0,0
Shippensburg,"5,568",2,0,0,0,2,69,6,61,2,0
Shippingport,210,1,0,0,0,1,2,0,2,0,0
Shiremanstown,"1,582",1,0,0,0,1,1,1,0,0,0
Shohola Township,"2,332",1,0,0,0,1,12,3,9,0,0
Silver Spring Township,"16,884",3,0,1,0,2,152,11,139,2,0
Sinking Spring,"4,121",5,4,1,0,0,55,11,42,2,0
Slate Belt Regional,"12,358",26,0,5,1,20,167,30,134,3,1
Slatington,"4,285",4,0,0,0,4,76,9,65,2,1
Slippery Rock,"3,605",7,0,1,1,5,42,4,38,0,0
Smethport,"1,584",0,0,0,0,0,7,2,5,0,0
Solebury Township,"8,628",3,0,1,0,2,43,4,37,2,0
Somerset,"5,985",5,0,0,1,4,111,14,94,3,2
Souderton,"6,771",19,0,3,1,15,56,8,46,2,0
South Abington Township,"9,010",13,0,1,1,11,84,10,72,2,0
South Annville Township,"2,939",0,0,0,0,0,8,1,7,0,0
South Beaver Township,"2,656",3,0,0,0,3,10,0,10,0,0
South Buffalo Township,"2,593",0,0,0,0,0,14,1,13,0,0
South Centre Township,"4,197",4,0,0,0,4,14,5,9,0,0
South Coatesville,"1,461",6,0,1,3,2,20,8,10,2,0
Southern Regional Lancaster County,"3,863",5,0,0,1,4,10,1,7,2,0
Southern Regional York County,"13,766",25,0,9,3,13,92,15,76,1,0
South Fayette Township,"15,723",2,0,0,2,0,65,6,59,0,0
