zip_code,zipcode_type,radius_in_miles,population_density,land_area_in_sqmi,water_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,median_household_income
50020,Standard,11,15,95.83,0.35,684,603,78900,47143
15049,Standard,0.852272727,2076,0.43,0,487,463,96700,43491
15042,Standard,4,486,16.67,0.13,3629,3377,136000,53697
15038,PO Box,0.397727273,743,0.44,0.08,158,142,80800,26758
15055,Standard,1,2034,0.67,0.01,717,674,160500,54918
20121,Standard,3,3238,8.64,0.42,10357,9896,330700,92115
50032,PO Box,0.625,1082,0.37,0,185,174,15500,17321
80103,Standard,20,9,281.08,6.41,1002,902,208300,62083
50056,Standard,8,24,57.48,0.12,592,551,115800,53000
80007,Standard,5,283,25.66,0.63,2640,2567,455500,120202
50042,Standard,6,10,32.37,0.13,155,134,73600,35250
50014,Standard,10,503,55.88,0.03,11868,11385,212500,37661
85045,Standard,2,1998,3.62,0.01,2693,2493,349800,115756
20149,Unique,,,,,,,,
50055,Standard,6,19,48.67,0.11,408,370,147700,63920
15007,Standard,0.625,972,0.33,0,136,131,112500,73352
85044,Standard,3,2630,14.45,0.02,18246,16978,214100,66416
85009,Standard,3,3371,15.58,0.07,14369,12153,62800,22725
85016,Standard,3,3752,9.03,0.08,19287,15969,194400,46233
15026,Standard,6,101,33.51,0.21,1429,1325,157100,62639
20122,PO Box,,,,,,,,
85046,PO Box,,,,,,,,
20153,PO Box,,,,,,,,
85011,PO Box,,,,,,,,
20124,Standard,6,699,21.27,0.65,5052,4918,640000,167400
85006,Standard,1,6595,3.9,0,10183,8565,112700,22957
50048,Standard,11,10,87.37,0.11,423,347,78200,49722
85083,Standard,4,1838,9.85,0,6293,5871,281000,105101
20151,Standard,4,1376,15.54,0.13,6828,6661,452400,122054
20102,Unique,,,,,,,,
80019,Standard,4,69,24.57,0.02,719,647,153100,63519
85017,Standard,3,7415,5.24,0.01,13883,11339,72000,27782
20113,PO Box,,,,,,,,
15050,Standard,7,104,23.41,0.01,973,912,150600,53587
85019,Standard,2,6678,3.75,0.01,8241,6908,78900,32043
15028,PO Box,0.113636364,711,0.2,0.09,64,63,63300,52500
85061,PO Box,,,,,,,,
20116,PO Box,,,,,,,,
50031,PO Box,,,,,,,,
85048,Standard,4,1693,19.75,0.04,13632,12613,303600,93878
80028,Unique,,,,,,,,
85066,PO Box,,,,,,,,
15017,Standard,4,1244,13.03,0.05,7875,7392,155500,59715
85014,Standard,2,5929,4.18,0.01,14326,11766,170900,41903
20140,PO Box,,,,,,,,
85065,Standard,,,,,,,,
85012,Standard,2,2912,2.19,0,3804,3139,379200,49226
80044,PO Box,,,,,,,,
85026,Standard,,,,,,,,
85013,Standard,2,5195,3.72,0.01,10943,9168,181900,43576
85073,Standard,,,,,,,,
85018,Standard,3,3245,11.11,0.04,19231,16763,344900,52389
85076,PO Box,,,,,,,,
50010,Standard,9,490,59.86,0.1,13618,12890,165300,48189
50058,Standard,12,14,140.57,0.06,902,803,77500,48412
85063,PO Box,,,,,,,,
85035,Standard,3,8311,5.71,0,14961,12592,71200,31645
20138,PO Box,,,,,,,,
85039,Standard,,,,,,,,
80104,Standard,10,356,77.58,0.03,10470,9867,256700,81017
80105,Standard,22,2,498.67,2.01,563,477,187500,56250
20131,PO Box,,,,,,,,
50051,Standard,6,11,25.55,0.15,134,117,74200,68636
85002,PO Box,,,,,,,,
20139,PO Box,8,66,3.27,0.01,100,94,346700,144464
20155,Standard,6,1018,28.9,0.93,10357,9943,396400,127974
15043,Standard,8,75,32.71,1.35,953,900,147700,65625
80017,Standard,2,5844,5.86,0.01,13688,12962,159200,49519
85005,PO Box,,,,,,,,
80045,Standard,0.795454545,413,0.67,0,173,148,,33500
15047,PO Box,0.625,789,0.19,0.07,72,67,,
20164,Standard,3,5094,7.41,0.05,12565,12036,299400,87288
15051,Standard,0.568181818,557,0.83,0,246,224,71300,51023
80040,PO Box,,,,,,,,
15045,Standard,1,2834,1.58,0.2,2255,1964,59000,33611
85075,PO Box,,,,,,,,
15019,Standard,6,76,22.7,0.06,770,722,107100,49050
80107,Standard,15,77,155.88,0,4474,4290,343800,85141
85050,Standard,3,1765,14.58,0.04,11333,10198,237300,78087
80036,PO Box,,,,,,,,
15054,PO Box,1,2871,0.13,0,180,163,63000,54620
85070,PO Box,,,,,,,,
15044,Standard,6,654,41.34,0.02,10496,10011,219300,93210
85004,Standard,2,2434,2.04,0,2804,2195,205200,26008
20128,PO Box,,,,,,,,
20108,PO Box,,,,,,,,
